文本ID,简体中文,繁体中文,英文,俄语,西班牙语西班牙,葡萄牙语巴西,德语,日语,法语,波兰语,韩语,土耳其语,西班牙语拉丁美洲,乌克兰语,意大利语,捷克语,葡萄牙语葡萄牙,匈牙利语
uint,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
,,,,,,,,,,,,,,,,,,
id,textzhCN,textzhTW,textEN,textRU,textesES,textptBR,textDE,textJA,textFR,textPL,textKO,textTR,textes419,textUK,textIT,textCS,textptPT,textHU
1,置顶,置頂,Always on Top,Всегда поверх,Siempre visible,Sempre no topo,Immer im Vordergrund,常に最前面,Toujours au premier plan,Zawsze na wierzchu,항상 위에,Her zaman üstte,Siempre visible,Завжди поверх,Sempre in primo piano,Vždy nahoře,Sempre no topo,Mindig felül
2,简体中文,繁體中文,English,Русский,Español de España,Português do Brasil,Deutsch,日本語,Français,Polski,한국어,Türkçe,Español de América Latina,Українська,Italiano,Čeština,Português de Portugal,Magyar
3,正式版 V1.0,正式版 V1.0,Official Version V1.0,Официальная версия V1.0,Versión oficial V1.0,Versão oficial V1.0,Offizielle Version V1.0,正式版 V1.0,Version officielle V1.0,Oficjalna wersja V1.0,정식 버전 V1.0,Resmi Sürüm V1.0,Versión oficial V1.0,Офіційна версія V1.0,Versione ufficiale V1.0,Oficiální verze V1.0,Versão oficial V1.0,Hivatalos verzió V1.0
4,"!@#$%^&*()_+！@#￥%……&*（）,./;'[]\<>?:""{}|，。、；‘【】、《》？：“{}|-=",,,,,,,,俞辰安井柏木叶星泠菇千林风晚葬贱添鸦大大侠伽竹桃一直输口口荆（奥利奥蚊香桔猫（我的猫很可爱远山长加尔诺维临清不是磷氢（白祈猫茶庭域余七呱呱呱（卷毛小狗麦麦大王慌小林导下班就来糕哆来咪发唆柏林小狗柠檬酸杂序康斯德,仅按肝损伤程度大致排序，每一份帮助我们都倍加珍惜！,,,,,,,,
5,收纳,收納,Store,Убрать,Guardar,Guardar,Verstauen,収納,Ranger,Schowaj,수납,Kaldır,Guardar,Прибрати,Riponi,Uložit,Guardar,Elrak
6,小动物,小動物,Small animals,Маленькие животные,Animalitos,Animais pequenos,Kleine Tiere,小動物,Petits animaux,Małe zwierzęta,작은 동물,Küçük hayvanlar,Animalitos,Маленькі тварини,Piccoli animali,Malá zvířata,Animais pequenos,Kis állatok
7,禁用土包,禁用土包,Disable mound,Отключить бугорки,Desactivar montículos,Desativar montículos,Hügel deaktivieren,土盛りを無効にする,Désactiver les monticules,Wyłącz kopce,땅더미 비활성화,Tepeciği devre dışı bırak,Desactivar montículos,Вимкнути горбки,Disabilita monticelli,Zakázat hromádky,Desativar montículos,Halom letiltása
8,保存,保存,Save,Сохранить,Guardar,Salvar,Speichern,保存,Enregistrer,Zapisz,저장,Kaydet,Guardar,Зберегти,Salva,Uložit,Guardar,Mentés
9,退出,退出,Exit,Выход,Salir,Sair,Beenden,終了,Quitter,Wyjście,종료,Çıkış,Salir,Вихід,Esci,Konec,Sair,Kilépés
10,蘑菇上限已满 无法放置更多蘑菇,蘑菇上限已滿 無法放置更多蘑菇,Mushroom limit reached  cannot place more mushrooms,Достигнут лимит грибов  нельзя разместить больше грибов,Límite de setas alcanzado  no se pueden colocar más setas,Limite de cogumelos atingido  não é possível colocar mais cogumelos,Pilzlimit erreicht  es können keine weiteren Pilze platziert werden,キノコの上限に達しました。これ以上キノコを配置できません,Limite de champignons atteinte  impossible de placer plus de champignons,Osiągnięto limit grzybów nie można umieścić więcej grzybów,버섯 상한에 도달하여 더 이상 버섯을 배치할 수 없습니다,Mantar limiti doldu  daha fazla mantar yerleştirilemez,Límite de hongos alcanzado  no se pueden colocar más hongos,Досягнуто ліміту грибів  не можна розмістити більше грибів,Limite di funghi raggiunto  impossibile piazzare più funghi,Dosaženo limitu hub  nelze umístit více hub,Limite de cogumelos atingido  não é possível colocar mais cogumelos,Elérte a gomba felső határát  nem helyezhet el több gombát
